13.0253,43.0955,2016,1,2,1.9,10.7,23,34,21.05
14.172,38.6808,2016,1,3,2.7,23.0,0,53,55.06
12.563,43.3137,2016,1,3,1.5,9.2,1,23,27.38
13.2807,42.7952,2016,1,3,1.5,11.1,2,2,4.87
13.2792,42.7888,2016,1,3,1.8,10.4,2,4,45.14
13.2938,42.7965,2016,1,3,1.6,10.7,2,12,37.15
13.9612,41.6043,2016,1,3,1.5,13.7,3,29,26.98
11.631,43.9178,2016,1,3,1.6,7.9,4,10,44.46
12.9932,43.0298,2016,1,3,2.2,13.2,4,28,13.45
14.5545,41.5818,2016,1,3,2.1,10.9,5,15,4.19
14.55,41.5882,2016,1,3,1.8,11.0,5,16,38.75
10.8927,44.1857,2016,1,3,1.7,8.1,7,13,54.19
14.1647,38.6907,2016,1,3,2.3,18.0,7,44,10.62
12.5422,43.3357,2016,1,3,0.2,6.6,8,36,40.77
14.9675,37.6042,2016,1,3,1.6,3.5,9,38,20.78
13.2138,42.9497,2016,1,3,0.9,9.4,10,3,3.51
11.1462,43.2142,2016,1,3,0.5,8.2,10,12,37.34
13.3603,42.1908,2016,1,3,2.1,9.7,10,33,10.19
17.0362,39.6033,2016,1,3,2.4,24.7,10,42,54.85
13.3068,42.5102,2016,1,3,1.4,14.7,11,53,6.19
11.9153,43.9968,2016,1,3,2.3,23.7,15,15,54.71
11.8963,44.006,2016,1,3,2.7,27.6,15,51,12.68
11.8895,44.0023,2016,1,3,2.1,26.5,15,54,30.53
11.9255,44.0032,2016,1,3,1.4,22.2,15,59,25.67
11.9352,44.0073,2016,1,3,1.5,24.9,17,31,13.06
10.5828,46.4258,2016,1,3,1.9,9.6,17,38,26.68
13.2283,42.9432,2016,1,3,2.1,8.4,17,57,21.71
13.4908,42.4678,2016,1,3,1.7,13.8,18,0,14.11
12.5482,43.2337,2016,1,3,1.3,8.7,18,43,54.37
12.3237,43.6513,2016,1,3,0.9,6.8,18,58,51.14
13.3597,42.4837,2016,1,3,1.3,10.5,19,45,54.5
12.9515,42.817,2016,1,3,1.1,12.2,20,23,14.68
12.9402,42.8105,2016,1,3,1.8,8.7,20,24,52.83
11.9092,43.9962,2016,1,3,2.1,23.3,21,8,17.57
11.9078,44.0113,2016,1,3,1.4,24.0,22,33,54.61
16.1967,37.7462,2016,1,3,2.5,38.8,23,55,20.75
12.6387,43.4178,2016,1,4,1.2,10.6,0,4,0.13
12.6033,43.3473,2016,1,4,1.3,10.1,0,14,50.25
12.6433,43.4015,2016,1,4,1.6,10.0,0,19,3.93
12.5393,43.229,2016,1,4,1.4,10.2,0,44,46.75
11.1518,43.2125,2016,1,4,1.3,8.2,2,25,31.62
11.2198,43.3847,2016,1,4,1.4,8.5,2,39,10.4
11.1423,43.2062,2016,1,4,1.8,9.9,3,13,43.82
10.8917,44.1853,2016,1,4,1.4,7.8,3,31,53.39
13.0142,43.0457,2016,1,4,1.0,14.0,3,43,57.17
12.9365,42.8182,2016,1,4,1.3,9.8,4,37,41.39
11.9098,43.994,2016,1,4,2.0,23.4,5,8,30.07
11.322,46.9338,2016,1,4,1.8,10.5,5,32,0.81
11.9052,43.9967,2016,1,4,1.7,24.6,5,52,55.95
13.1407,42.772,2016,1,4,1.6,10.3,6,18,31.19
7.7265,46.3332,2016,1,4,2.2,10.6,10,51,14.77
14.5907,40.9278,2016,1,4,2.4,10.9,11,29,4.27
12.7455,43.4502,2016,1,4,1.2,14.5,12,22,1.0
12.7478,43.4508,2016,1,4,1.8,14.1,12,33,59.6
12.9937,42.5037,2016,1,4,1.4,13.0,12,53,35.92
13.6483,42.891,2016,1,4,1.7,25.1,13,2,34.83
